number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,dist_to_center,price
48.0,1.0,0.0,28.0,2.0,2.541053546936044,99
4.0,1.0,0.0,3.0,0.0,8.211960733964657,65
4.0,1.0,69.0,22.0,1.0,13.063587611481303,100
121.0,2.0,33.0,70.0,1.0,13.08100662720784,72
6.0,1.0,29.0,30.0,0.0,12.137652915258437,50
42.0,3.0,63.0,6.0,0.0,7.673312344572005,81
5.0,2.0,0.0,6.0,1.0,9.570492586852254,120
0.0,2.0,0.0,21.0,1.0,8.127608347022383,95
17.0,1.0,0.0,64.0,1.0,4.150539466513402,119
0.0,1.0,78.0,26.0,1.0,1.410217143125078,220
71.0,3.0,91.0,9.0,0.0,4.900698588494,122
8.0,47.0,351.0,7.0,0.0,0.8759708350587454,55
25.0,3.0,342.0,12.0,1.0,5.7116720951747295,218
4.0,1.0,118.0,1.0,1.0,1.3599061258599958,150
51.0,1.0,147.0,12.0,1.0,4.930686365715689,212
153.0,2.0,125.0,2.0,0.0,8.53069742095241,69
18.0,1.0,0.0,26.0,1.0,2.1290523368865375,150
3.0,1.0,0.0,10.0,1.0,10.7494861030325,70
73.0,1.0,44.0,27.0,1.0,3.9609007503189546,235
1.0,1.0,6.0,21.0,1.0,8.16739709639726,78
5.0,1.0,40.0,12.0,1.0,6.916867977496133,150
24.0,2.0,72.0,13.0,0.0,6.928061171286768,89
0.0,1.0,0.0,11.0,1.0,2.6594372911648887,200
82.0,1.0,0.0,6.0,1.0,8.850778802089165,175
160.0,1.0,319.0,28.0,0.0,3.864431723941221,80
22.0,2.0,0.0,21.0,0.0,8.509115789304925,50
30.0,1.0,159.0,2.0,1.0,6.835545008926562,150
0.0,1.0,0.0,24.0,0.0,11.27660733767439,75
35.0,1.0,6.0,9.0,0.0,4.795337731935962,100
1.0,2.0,363.0,8.0,2.0,5.204471622661781,50
21.0,1.0,272.0,17.0,0.0,11.050059585984782,135
3.0,34.0,311.0,30.0,0.0,9.967716521402782,65
1.0,1.0,179.0,54.0,2.0,12.616733838007738,50
1.0,1.0,5.0,7.0,1.0,0.835254964201548,390
10.0,1.0,0.0,0.0,1.0,12.416753170890935,95
0.0,1.0,31.0,21.0,0.0,8.274724951255862,52
46.0,1.0,19.0,21.0,1.0,7.647694775685009,162
46.0,1.0,174.0,72.0,0.0,9.351637362532726,45
0.0,2.0,179.0,90.0,0.0,15.307302331036784,79
7.0,1.0,0.0,45.0,0.0,6.444614841346091,60
164.0,1.0,27.0,14.0,0.0,1.0174632339417076,76
280.0,1.0,246.0,8.0,0.0,4.56818392662407,99
3.0,1.0,0.0,30.0,0.0,10.380445506675619,45
13.0,1.0,288.0,83.0,1.0,8.67717310023196,144
4.0,20.0,272.0,7.0,1.0,0.8623711922469424,130
1.0,1.0,0.0,2.0,1.0,5.631403870421294,89
8.0,1.0,0.0,28.0,1.0,3.4003972100990554,125
34.0,3.0,75.0,12.0,2.0,7.0351745499621385,40
1.0,2.0,155.0,6.0,1.0,9.40959487907436,120
1.0,1.0,52.0,11.0,0.0,3.2141249886568684,160
10.0,1.0,88.0,49.0,0.0,6.049892980336873,85
0.0,1.0,0.0,23.0,1.0,4.69794099933921,85
0.0,1.0,0.0,2.0,0.0,7.327835865780886,80
57.0,1.0,48.0,21.0,0.0,9.853028252292612,65
6.0,1.0,135.0,5.0,1.0,1.1276356126045604,220
11.0,4.0,347.0,100.0,0.0,14.259619539038324,75
5.0,2.0,0.0,2.0,0.0,7.468502597875565,65
1.0,1.0,0.0,64.0,1.0,4.070462758696673,350
0.0,18.0,146.0,7.0,1.0,1.1304086939720108,499
5.0,1.0,0.0,6.0,1.0,8.156292480264364,142
2.0,1.0,0.0,117.0,1.0,14.504033579865451,116
12.0,2.0,19.0,87.0,0.0,11.71991997948272,60
2.0,2.0,0.0,28.0,0.0,2.42340012517571,85
0.0,1.0,0.0,8.0,1.0,3.79517834180594,150
1.0,1.0,0.0,22.0,0.0,13.629131582158745,69
0.0,1.0,0.0,21.0,1.0,8.309810780224566,70
0.0,1.0,0.0,12.0,0.0,6.241704497533089,100
4.0,33.0,299.0,28.0,1.0,3.564846017172602,190
5.0,1.0,0.0,2.0,1.0,7.2058880814675925,99
